SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0050202,49,116,7,21,23,116,50,18,24,,15,69,201,12,50,27,62,48,92,3,40,6,20,60,9,100,,59,72,87,40
0050203,"1,476",90,25,"3,768","1,757","2,217",31,"1,304","3,215","3,287",4,"3,761","3,820","1,028","5,579","4,123","3,700","1,372","3,697","2,234","5,257","1,396","4,398","1,945","5,273","5,434",926,"2,436","1,051","1,875","4,629"
0050204,176,95,245,148,245,402,362,76,296,43,46,82,311,474,399,116,378,345,290,705,198,157,26,124,323,456,176,413,158,251,235
0050205,143,113,27,112,157,102,99,145,76,140,63,215,62,33,98,121,237,,108,206,142,46,22,192,95,131,81,73,69,57,144
0050206,139,1,37,56,51,67,55,9,66,67,26,40,81,322,6,"1,960",,,"2,001",858,408,849,365,561,"1,170",387,"1,039","1,132",846,"2,352",595
0050207,58,199,193,61,66,71,100,37,138,62,4,28,66,43,93,59,124,151,74,128,100,100,,31,50,114,136,124,142,89,32
0050208,372,86,13,217,135,220,314,184,118,3,20,212,122,108,183,356,276,74,128,82,,,,85,380,348,99,,28,150,465
0050209,,,3,5,17,27,24,4,2,10,,14,4,2,7,18,22,,,4,35,,,,,,36,5,10,17,20
0050210,12,,,87,42,65,43,93,83,25,17,63,42,60,287,42,7,3,58,80,103,45,37,76,102,84,79,39,64,76,179
0050211,71,75,84,102,62,36,38,33,39,55,23,36,42,59,76,52,91,94,86,73,49,187,34,50,115,31,30,135,31,35,29
0050214,631,759,352,428,346,451,450,483,599,602,556,557,474,331,626,"1,129",142,3,"1,075",914,551,367,293,275,"1,325",,456,574,"1,225",767,176
