SKU,Compras,Ventas
1755179,15,9
1755180,11,8
1755181,11,10
1755182,15,3
1755183,10,7
1755184,13,9
1755185,3,1
1755187,3,1
1755188,5,5
1755193,7,4
1755194,15,12
1755195,20,17
1755196,5,2
1755197,9,6
1755198,3,1
1755199,8,4
1755200,8,8
1755201,5,2
1755202,10,7
1755203,12,9
1755204,5,2
1755205,4,1
1755206,27,22
1755207,4,1
1755208,3,1
1755209,3,1
1755210,5,2
1755211,6,3
1755212,4,4
1755213,4,2
1755214,9,6
1755217,4,2
1755218,17,16
1755219,6,5
1755220,18,10
1755221,3,1
1755222,6,3
1755223,7,3
1755224,8,5
1755226,3,1
1755227,8,7
1755228,6,5
1755229,13,10
1755230,32,27
1755231,47,38
1755232,11,9
1755233,20,16
1755234,29,27
1755235,29,26
1755236,3,3
1755237,26,21
1755238,7,6
1755239,7,6
1755240,3,1
1755241,3,1
1755242,3,1
1755243,8,7
1755244,5,4
1755245,1,1
1755246,1,1
1755248,14,10
1755249,10,6
1755250,18,10
1755251,8,6
1755252,9,5
1755254,3,1
1755255,11,6
1755256,4,3
1755257,4,3
1755259,3,1
1755262,8,6
1755263,10,6
1755264,5,2
1755265,5,2
1755266,5,3
1755267,5,2
1755268,5,1
1755269,5,1
1755270,9,6
1755271,16,11
1755272,7,5
1755276,2,2
1755277,63,35
1755278,9,3
1755279,5,2
1755280,53,53
1755281,8,5
1755284,3,2
1755285,3,1
1755286,3,1
1755287,3,1
1755288,3,1
1755289,3,1
1755290,3,1
1755292,3,1
1755293,6,3
1755294,5,3
1755295,3,1
1755296,2,1
1755297,5,4
1755298,8,6
1755299,1,1
1755300,14,9
1755301,15,14
1755302,15,12
1755303,10,7
1755304,9,7
1755305,61,54
1755306,18,13
1755307,373,369
1755308,48,28
1755309,11,6
1755310,11,8
1755311,18,11
1755312,32,25
1755313,11,6
1755314,16,10
1755315,3,1
1755316,4,1
1755317,10,6
1755318,38,27
1755319,3,2
1755320,3,2
1755321,7,5
1755322,24,22
1755323,10,6
1755324,29,14
1755326,10,5
1755327,23,17
1755328,23,17
1755329,8,3
1755330,2,1
1755331,7,5
1755332,5,1
1755333,4,1
1755334,7,4
1755336,37,28
1755337,4,2
1755338,44,35
1755339,4,2
1755340,4,1
1755341,3,1
1755342,2,1
1755343,80,63
1755346,1,1
1755347,4,2
1755348,2,1
1755350,3,2
1755351,37,35
1755352,46,25
1755353,1,1
1755354,14,7
1755355,21,16
1755356,1,1
1755357,4,2
1755358,6,3
1755360,5,3
1755361,4,2
1755362,13,12
1755363,6,2
1755364,8,8
1755365,10,1
1755366,7,4
1755367,20,18
1755368,22,17
1755369,4,1
1755370,4,1
1755371,5,4
1755372,9,6
1755373,9,8
1755374,23,15
1755375,36,23
1755376,12,10
1755377,3,3
1755378,7,5
1755379,8,6
1755380,3,1
1755381,3,1
1755382,31,26
1755384,5,3
1755385,11,8
1755386,14,10
1755387,3,2
1755388,20,16
1755389,24,20
1755390,34,30
1755391,29,25
1755392,35,31
1755393,7,4
1755394,28,23
1755395,31,27
1755396,29,25
1755397,24,20
1755398,5,3
1755399,14,12
1755400,16,15
1755401,13,7
1755402,3,1
1755403,34,22
1755404,18,12
1755405,18,10
1755406,2,1
1755407,3,2
1755408,8,3
1755409,11,6
1755410,58,52
1755411,64,52
1755412,2,1
1755414,8,4
1755415,6,4
1755416,36,30
1755418,4,4
1755419,8,3
1755420,4,4
1755421,31,20
1755422,16,13
1755423,24,17
1755424,74,62
1755425,22,16
1755426,13,8
1755427,24,8
1755428,5,2
1755429,7,5
1755430,11,6
1755431,5,4
1755432,4,1
1755433,9,5
1755435,4,2
1755436,41,31
1755437,25,20
1755438,3,1
1755439,3,2
1755440,13,9
1755441,2,1
1755442,8,5
1755443,9,6
1755444,10,7
1755445,14,9
1755446,45,40
1755447,192,153
1755448,8,5
1755449,18,13
1755450,3,2
1755451,6,2
1755452,4,2
1755453,4,2
1755454,20,12
1755455,8,7
1755456,8,6
1755457,13,11
1755458,3,1
1755459,5,3
1755460,13,7
1755461,46,31
1755462,40,35
1755463,5,4
1755464,130,109
1755465,24,6
1755466,28,18
1755467,2,1
1755468,5,3
1755469,4,2
1755470,8,3
1755471,7,4
1755472,3,2
1755473,8,5
1755474,3,2
1755475,3,1
1755476,3,1
1755477,21,12
1755478,10,6
1755479,6,1
1755480,37,27
1755481,5,1
1755482,9,8
1755483,2,1
1755486,2,1
1755487,3,1
1755488,3,1
1755489,5,2
1755490,3,1
1755491,7,5
1755492,7,5
1755493,6,3
1755494,7,5
1755495,3,1
1755496,9,8
1755497,3,2
1755498,7,4
1755499,89,68
1755500,28,20
1755501,26,21
1755502,68,55
1755503,3,1
1755504,3,1
1755505,6,2
1755506,3,1
1755507,3,1
1755508,50,38
1755510,5,2
1755511,11,8
1755512,9,6
1755513,9,5
1755514,8,4
1755515,4,2
1755516,3,1
1755517,13,9
1755519,3,2
1755521,6,4
1755522,8,5
1755523,8,5
1755524,9,6
1755525,12,8
1755526,14,10
1755527,7,6
1755528,13,9
1755529,18,11
1755530,13,9
1755531,21,10
1755532,21,14
1755533,21,10
1755534,25,14
1755535,19,10
1755536,11,7
1755537,9,7
